CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIM_TOPOG,DEPTH_FLOOR_TOPOG,DEPTH_RIMFLOOR_TOPOG,CRATER_NAME,FAN_LATITUDE,FAN_LONGITUDE ,FAN_CLASS,FAN_AZIMUTH_BEARING,TANAKA_UNIT,TANAKA_UNIT_DESCRIPTION,REFERENCE
03-000017,38.48,-72.43,45.85,1.77,-0.09,1.86,,38.69,-72.61,alluvial fan,315,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
03-000017,38.48,-72.43,45.85,1.77,-0.09,1.86,,38.67,-72.62,alluvial fan,315,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
03-000017,38.48,-72.43,45.85,1.77,-0.09,1.86,,38.65,-72.66,alluvial fan,292.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
03-000017,38.48,-72.43,45.85,1.77,-0.09,1.86,,38.61,-72.7,alluvial fan,292.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
03-000017,38.48,-72.43,45.85,1.77,-0.09,1.86,,38.61,-72.16,alluvial fan,45,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
03-000017,38.48,-72.43,45.85,1.77,-0.09,1.86,,38.64,-72.19,alluvial fan,45,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
03-000017,38.48,-72.43,45.85,1.77,-0.09,1.86,,38.52,-72.79,alluvial fan,270,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
03-000017,38.48,-72.43,45.85,1.77,-0.09,1.86,,38.49,-72.79,alluvial fan,270,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
03-000017,38.48,-72.43,45.85,1.77,-0.09,1.86,,38.45,-72.8,alluvial fan,247.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
03-000046,38.71,-81.54,27.9,0.72,-0.62,1.34,Jampur,38.86,-81.6,alluvial fan,337.5,eHv,Early Hesperian volcanic unit+K1052,Wilson et al. (2013)/ this paper
03-000046,38.71,-81.54,27.9,0.72,-0.62,1.34,Jampur,38.85,-81.63,alluvial fan,315,eHv,Early Hesperian volcanic unit,Wilson et al. (2013)/ this paper
03-000046,38.71,-81.54,27.9,0.72,-0.62,1.34,Jampur,38.83,-81.67,alluvial fan,315,eHv,Early Hesperian volcanic unit,Wilson et al. (2013)/ this paper
03-000046,38.71,-81.54,27.9,0.72,-0.62,1.34,Jampur,38.81,-81.69,alluvial fan,292.5,eHv,Early Hesperian volcanic unit,Wilson et al. (2013)/ this paper
03-000046,38.71,-81.54,27.9,0.72,-0.62,1.34,Jampur,38.79,-81.71,alluvial fan,292.5,eHv,Early Hesperian volcanic unit,Wilson et al. (2013)/ this paper
03-000046,38.71,-81.54,27.9,0.72,-0.62,1.34,Jampur,38.87,-81.49,alluvial fan,0,eHv,Early Hesperian volcanic unit,Wilson et al. (2013)/ this paper
03-000046,38.71,-81.54,27.9,0.72,-0.62,1.34,Jampur,38.86,-81.54,alluvial fan,337.5,eHv,Early Hesperian volcanic unit,Wilson et al. (2013)/ this paper
03-000055,34.88,-66.13,25.36,-0.82,-2.28,1.46,,35.01,-66.14,alluvial fan,337.5,eHh,Early Hesperian highland unit,Wilson et al. (2013)/ this paper
03-000055,34.88,-66.13,25.36,-0.82,-2.28,1.46,,35.01,-66.17,alluvial fan,337.5,eHh,Early Hesperian highland unit,Wilson et al. (2013)/ this paper
03-000055,34.88,-66.13,25.36,-0.82,-2.28,1.46,,34.97,-66.26,alluvial fan,292.5,eHh,Early Hesperian highland unit,Wilson et al. (2013)/ this paper
03-000055,34.88,-66.13,25.36,-0.82,-2.28,1.46,,34.99,-66.2,alluvial fan,315,eHh,Early Hesperian highland unit,Wilson et al. (2013)/ this paper
03-000055,34.88,-66.13,25.36,-0.82,-2.28,1.46,,34.84,-66.31,alluvial fan,247.5,eHh,Early Hesperian highland unit,Wilson et al. (2013)/ this paper
04-000052,31.44,-12.92,40.56,-3.21,-5.14,1.93,,31.67,-13.08,alluvial fan,315,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
04-000052,31.44,-12.92,40.56,-3.21,-5.14,1.93,,31.7,-13.04,alluvial fan,337.5,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
04-000052,31.44,-12.92,40.56,-3.21,-5.14,1.93,,31.62,-12.66,alluvial fan,45,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
04-000052,31.44,-12.92,40.56,-3.21,-5.14,1.93,,31.48,-13.27,alluvial fan,270,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
04-000052,31.44,-12.92,40.56,-3.21,-5.14,1.93,,31.47,-12.69,alluvial fan,67.5,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
04-000052,31.44,-12.92,40.56,-3.21,-5.14,1.93,,31.36,-13.28,alluvial fan,247.5,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
04-000077,32.45,-58.28,34.4,-0.41,-2.44,2.03,,32.62,-58.1,alluvial fan,22.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
04-000077,32.45,-58.28,34.4,-0.41,-2.44,2.03,,32.28,-58.21,alluvial fan,157.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
04-000077,32.45,-58.28,34.4,-0.41,-2.44,2.03,,32.29,-58.36,alluvial fan,202.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
04-000077,32.45,-58.28,34.4,-0.41,-2.44,2.03,,32.29,-58.15,alluvial fan,135,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
04-000130,36.58,-30.41,26.54,-3.82,-5.47,1.65,,36.52,-30.59,alluvial fan,225,lHl,Late Hesperian lowland unit,this paper 
04-000130,36.58,-30.41,26.54,-3.82,-5.47,1.65,,36.7,-30.27,alluvial fan,22.5,lHl,Late Hesperian lowland unit,this paper 
04-000130,36.58,-30.41,26.54,-3.82,-5.47,1.65,,36.55,-30.61,alluvial fan,247.5,lHl,Late Hesperian lowland unit,this paper 
04-000130,36.58,-30.41,26.54,-3.82,-5.47,1.65,,36.63,-30.6,alluvial fan,270,lHl,Late Hesperian lowland unit,this paper 
04-000130,36.58,-30.41,26.54,-3.82,-5.47,1.65,,36.43,-30.42,alluvial fan,180,lHl,Late Hesperian lowland unit,this paper 
04-000130,36.58,-30.41,26.54,-3.82,-5.47,1.65,,36.53,-30.59,alluvial fan,247.5,lHl,Late Hesperian lowland unit,this paper 
04-000130,36.58,-30.41,26.54,-3.82,-5.47,1.65,,36.54,-30.6,alluvial fan,247.5,lHl,Late Hesperian lowland unit,this paper 
04-000130,36.58,-30.41,26.54,-3.82,-5.47,1.65,,36.43,-30.45,alluvial fan,180,lHl,Late Hesperian lowland unit,this paper 
04-000130,36.58,-30.41,26.54,-3.82,-5.47,1.65,,36.43,-30.39,alluvial fan,157.5,lHl,Late Hesperian lowland unit,this paper 
04-000130,36.58,-30.41,26.54,-3.82,-5.47,1.65,,36.4,-30.36,alluvial fan,157.5,lHl,Late Hesperian lowland unit,this paper 
05-000015,36.63,56.45,81.83,-1.04,-2.68,1.63,,36.09,56.9,alluvial fan,135,HNt,Hesperian and Noachian transition unit,this paper 
05-000015,36.63,56.45,81.83,-1.04,-2.68,1.63,,36.06,56.82,alluvial fan,135,HNt,Hesperian and Noachian transition unit,this paper 
05-000056,35.62,0.55,47.99,-2.23,-4.17,1.94,,35.86,0.67,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
05-000056,35.62,0.55,47.99,-2.23,-4.17,1.94,,35.75,0.81,alluvial fan,45,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
05-000056,35.62,0.55,47.99,-2.23,-4.17,1.94,,35.36,0.62,alluvial fan,157.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
05-000056,35.62,0.55,47.99,-2.23,-4.17,1.94,,35.36,0.57,alluvial fan,157.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
05-000271,31.05,2.51,24.14,-2.4,-2.84,0.45,,31.21,2.41,alluvial fan,315,lNh,Late Noachian highland unit,this paper 
08-000002,0.19,-164.52,107.36,-2.42,-4.74,2.32,Nicholson,0.88,-164.66,alluvial fan,337.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
08-000002,0.19,-164.52,107.36,-2.42,-4.74,2.32,Nicholson,0.84,-164.57,alluvial fan,337.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
08-000002,0.19,-164.52,107.36,-2.42,-4.74,2.32,Nicholson,0.8,-164.8,alluvial fan,315,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
08-000002,0.19,-164.52,107.36,-2.42,-4.74,2.32,Nicholson,0.39,-165.24,alluvial fan,270,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
08-000002,0.19,-164.52,107.36,-2.42,-4.74,2.32,Nicholson,0.2,-165.2,alluvial fan,270,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
